product_id,product_name,category,subcategory,vendor_id
1,Product 1,Automotive,Phones,336
2,Product 2,Fashion,Skincare,458
3, Product 3 ,Fashion,Books,353
4,Product  4,home-office,Cookware,344
5,Product 5,Fashion,Fitness,310
6,Product 6,Fashion,Laptops,197
7, Product 7 ,electronics,Games,208
8,Product 8,electronics,Decor,357
9,Product 9,electronics,Shoes,253
10,Product 10,Grocery,Storage,260
11,Product 11,home-office,Chairs,58
12,Product 12,Fashion,Desks,149
13,Product 13,Fashion,Games,494
14,Product 14,Toys,Storage,378
15,Product 15,electronics,Storage,475
16,Product 16,Fashion,Games,471
17,Product 17,Kitchen,Cookware,453
18,Product 18,Kitchen,Cookware,59
19,Product 19,Home Office,Fitness,383
20,Product 20,,Chairs,413
21,Product  21,Fashion,Shoes,205
22,Product  22,Automotive,Skincare,145
23,Product 23,Toys,Laptops,180
24,Product 24,Fashion,Cookware,52
25,Product 25,Home Office,Decor,338
26,Product 26,Toys,Storage,464
27,Product 27,Home Office,Desks,291
28,Product 28,Fashion,Chairs,114
29,Product 29,Toys,Skincare,417
30,Product  30,electronics,Shoes,472
31,Product 31,Automotive,Storage,1
32,Product  32,Fashion,Decor,288
33,Product 33,Home Office,Games,442
34, Product 34 ,Home Office,Cookware,366
35, Product 35 ,electronics,Phones,380
36,Product 36,Kitchen,Shoes,252
37,Product 37,Grocery,Chairs,65
38, Product 38 ,electronics,Laptops,65
39, Product 39 ,Toys,Storage,70
40,Product  40,Beauty,Desks,488
41,Product 41,Kitchen,Storage,2
42,Product 42,Automotive,Cookware,321
43,Product 43,Home Office,Chairs,311
44,Product  44,Toys,Phones,103
45,Product 45,,Skincare,7
46,Product 46,electronics,Chairs,73
47,Product 47,Beauty,Laptops,13
48,Product 48,home-office,Fitness,298
49,Product 49,Fashion,Car Care,416
50,Product 50,electronics,Car Care,245
51,Product 51,Toys,Fitness,222
52,Product 52,Automotive,Cookware,324
53,Product 53,Grocery,Cookware,213
54,Product 54,Fashion,Chairs,441
55,Product 55,electronics,Chairs,108
56,Product 56,Sports,Storage,257
57,Product 57,Fashion,Desks,87
58, Product 58 ,Beauty,Laptops,70
59, Product 59 ,electronics,Snacks,408
60,Product  60,Sports,Books,328
61, Product 61 ,Kitchen,Cookware,106
62,Product 62,home-office,Laptops,354
63,Product 63,Automotive,Skincare,298
64, Product 64 ,Grocery,Decor,57
65,Product 65,home-office,Skincare,325
66,Product 66,Home Office,Games,353
67,Product  67,Beauty,Snacks,156
68,Product 68,Books,Car Care,498
69,Product 69,Home Office,Fitness,43
70,Product  70,Sports,Skincare,498
71,Product 71,electronics,Books,162
72,Product 72,Automotive,Phones,429
73,Product 73,Fashion,Decor,492
74,Product 74,Sports,Car Care,71
75,Product 75,Fashion,Decor,497
76, Product 76 ,Toys,Shoes,327
77,Product 77,Grocery,Cookware,3
78,Product 78,Fashion,Storage,179
79,Product  79,electronics,Fitness,386
80,Product 80,Kitchen,Car Care,88
81,Product 81,electronics,Snacks,263
82,Product 82,electronics,Books,378
83, Product 83 ,eletronics,Car Care,108
84, Product 84 ,electronics,Fitness,54
85,Product 85,Fashion,Storage,151
86,Product 86,Home Office,Cookware,296
87,Product 87,Fashion,Snacks,146
88,Product 88,Beauty,Cookware,239
89,Product 89,Grocery,Fitness,55
90,Product 90,Automotive,Fitness,329
91,Product 91,Grocery,Cookware,294
92,Product 92,Beauty,Skincare,468
93,Product  93,Kitchen,Cookware,211
94,Product 94,Fashion,Laptops,444
95, Product 95 ,Sports,Games,174
96,Product  96,Fashion,Laptops,275
97,Product 97,Beauty,Skincare,406
98,Product 98,home-office,Chairs,135
99,Product 99,Grocery,Books,299
100,Product 100,Sports,Decor,129
101,Product 101,Kitchen,Storage,476
102,Product 102,electronics,Books,387
103,Product 103,Sports,Shoes,227
104,Product 104,Home Office,Snacks,299
105,Product 105,Fashion,Chairs,404
106,Product  106,Fashion,Snacks,445
107,Product 107,Sports,Snacks,335
108,Product  108,Home Office,Games,413
109,Product  109,Home Office,Shoes,396
110,Product 110,home-office,Games,285
111,Product 111,Sports,Fitness,500
