product_id,product_name,category,subcategory,vendor_id
1,Xiaomi Realme 11 64GB,Electronics,Phones,5
2,"Acer IdeaPad 13"" Ryzen 5 16GB",Electronics,Laptops,438
3,Motorola iPhone 13 128GB,Electronics,Phones,361
4,Skullcandy Portable Speaker,Electronics,Audio,433
5,Apple iPhone 13 512GB,Electronics,Phones,2
6,Bose TWS Earbuds,Electronics,Audio,346
7,Oppo Nord CE3 64GB,Electronics,Phones,336
8,GoPro DSLR Camera,Electronics,Cameras,212
9,Realme iPhone 15 128GB,Electronics,Phones,482
10,Google Pixel 7a 256GB,Electronics,Phones,381
11,"Samsung 43"" 4K Smart TV",Electronics,Television,184
12,Philips TWS Earbuds,Electronics,Audio,124
13,JBL TWS Earbuds,Electronics,Audio,63
14,Boat Bluetooth Headphones,Electronics,Audio,371
15,Samsung Pixel 8 256GB,Electronics,Phones,390
16,Google Note 12 256GB,Electronics,Phones,368
17,"Panasonic 65"" 4K Smart TV",Electronics,Television,190
18,Realme iPhone 15 64GB,Electronics,Phones,24
19,"Dell Nitro 14"" i7 32GB",Electronics,Laptops,476
20,Canon Mirrorless Camera,Electronics,Cameras,313
21,Sony Portable Speaker,Electronics,Audio,9
22,Vivo iPhone 13 64GB,Electronics,Phones,426
23,Motorola Redmi 12 256GB,Electronics,Phones,25
24,Oppo Nord 3 512GB,Electronics,Phones,336
25,JBL Portable Speaker,Electronics,Audio,469
26,Samsung Note 12 512GB,Electronics,Phones,390
27,OnePlus iPhone 14 128GB,Electronics,Phones,8
28,"Asus Vostro 15"" i7 32GB",Electronics,Laptops,38
29,Realme Pixel 8 512GB,Electronics,Phones,23
30,Google Moto G54 64GB,Electronics,Phones,428
31,"Panasonic 65"" 4K Smart TV",Electronics,Television,190
32,OnePlus A14 128GB,Electronics,Phones,7
33,Nokia Note 13 128GB,Electronics,Phones,362
34,"Sony 50"" 4K Smart TV",Electronics,Television,9
35,Oppo Redmi 12 512GB,Electronics,Phones,314
36,"Asus TUF 15"" M2 16GB",Electronics,Laptops,38
37,Vivo Redmi 12 64GB,Electronics,Phones,192
38,Xiaomi A14 256GB,Electronics,Phones,6
39,Samsung Nord CE3 64GB,Electronics,Phones,351
40,Oppo iPhone 15 64GB,Electronics,Phones,22
41,Philips Bluetooth Headphones,Electronics,Audio,13
42,Boat Bluetooth Headphones,Electronics,Audio,216
43,Apple Pixel 8 128GB,Electronics,Phones,434
44,Philips Bluetooth Headphones,Electronics,Audio,450
45,Boat Portable Speaker,Electronics,Audio,371
46,"Acer Victus 15"" i5 8GB",Electronics,Laptops,333
47,"LG 43"" 4K Smart TV",Electronics,Television,188
48,Skullcandy Portable Speaker,Electronics,Audio,72
49,Skullcandy Portable Speaker,Electronics,Audio,286
50,"Apple IdeaPad 17"" M3 16GB",Electronics,Laptops,183
51,Apple Note 13 256GB,Electronics,Phones,183
52,Google Note 12 512GB,Electronics,Phones,428
53,Sennheiser Soundbar,Electronics,Audio,477
54,Nikon Mirrorless Camera,Electronics,Cameras,211
55,Sony Mirrorless Camera,Electronics,Cameras,187
56,"Acer ZenBook 13"" M2 16GB",Electronics,Laptops,202
57,Realme Nord 3 256GB,Electronics,Phones,194
58,"Lenovo Vostro 14"" Ryzen 7 32GB",Electronics,Laptops,35
59,Sennheiser Portable Speaker,Electronics,Audio,430
60,"Samsung 50"" 4K Smart TV",Electronics,Television,3
61,"HP XPS 13"" Ryzen 7 32GB",Electronics,Laptops,199
62,Nikon DSLR Camera,Electronics,Cameras,211
63,"Dell Swift 16"" i5 16GB",Electronics,Laptops,31
64,Google Redmi 12 128GB,Electronics,Phones,428
65,Vivo Note 13 128GB,Electronics,Phones,20
66,"MSI Vostro 15"" Ryzen 7 8GB",Electronics,Laptops,203
67,Beats Portable Speaker,Electronics,Audio,69
68,"MSI TUF 13"" Ryzen 5 8GB",Electronics,Laptops,42
69,"Panasonic 50"" 4K Smart TV",Electronics,Television,190
70,JBL Soundbar,Electronics,Audio,360
71,"Asus Envy 16"" i5 8GB",Electronics,Laptops,38
72,Xiaomi A14 256GB,Electronics,Phones,5
73,"Sony 50"" 4K Smart TV",Electronics,Television,187
74,Samsung Realme 11 512GB,Electronics,Phones,500
75,"HP Yoga 13"" M3 8GB",Electronics,Laptops,478
76,Philips Soundbar,Electronics,Audio,365
77,Bose Soundbar,Electronics,Audio,409
78,Philips TWS Earbuds,Electronics,Audio,450
79,"TCL 50"" 4K Smart TV",Electronics,Television,17
80,Vivo Redmi 12 512GB,Electronics,Phones,20
81,OnePlus iPhone 13 256GB,Electronics,Phones,7
82,"Lenovo IdeaPad 17"" Ryzen 7 16GB",Electronics,Laptops,36
83,Boat Bluetooth Headphones,Electronics,Audio,423
84,Nikon Action Camera Camera,Electronics,Cameras,402
85,OnePlus Nord CE3 256GB,Electronics,Phones,412
86,"Lenovo ZenBook 16"" i7 32GB",Electronics,Laptops,380
87,"Acer Pavilion 17"" Ryzen 7 16GB",Electronics,Laptops,202
88,"HP ThinkPad 13"" M2 16GB",Electronics,Laptops,199
89,Apple Pixel 8 128GB,Electronics,Phones,1
90,"Apple XPS 16"" M2 8GB",Electronics,Laptops,1
91,"Acer Inspiron 15"" Ryzen 5 32GB",Electronics,Laptops,333
92,Bose TWS Earbuds,Electronics,Audio,62
93,JBL Soundbar,Electronics,Audio,63
94,"Panasonic 65"" 4K Smart TV",Electronics,Television,287
95,Xiaomi Note 12 512GB,Electronics,Phones,5
96,"HP IdeaPad 14"" M2 32GB",Electronics,Laptops,34
97,Skullcandy TWS Earbuds,Electronics,Audio,218
98,Oppo Nord CE3 128GB,Electronics,Phones,410
99,"Acer Swift 15"" M3 16GB",Electronics,Laptops,39
100,"MSI Victus 13"" M2 32GB",Electronics,Laptops,203
101,Sennheiser Soundbar,Electronics,Audio,65
102,"HP Victus 16"" Ryzen 5 16GB",Electronics,Laptops,478
103,Google S23 512GB,Electronics,Phones,30
104,Oppo S24 64GB,Electronics,Phones,314
105,Sony Mirrorless Camera,Electronics,Cameras,10
106,Vivo Moto G54 512GB,Electronics,Phones,20
