vendor_id,vendor_name,country
1,Vendor 1,JP
2,Vendor 2,IN
3,Vendor 3,US
4,Vendor 4,US
5,Vendor 5,JP
6,Vendor  6,GB
7, Vendor 7 ,CN
8,Vendor 8,IN
9, Vendor 9 ,AE
10,Vendor  10,IN
11,Vendor 11,CN
12, Vendor 12 ,DE
13,Vendor 13,SG
14,Vendor 14,CN
15,Vendor 15,US
16, Vendor 16 ,CN
17, Vendor 17 ,GB
18,Vendor 18,US
19,Vendor 19,IN
20,Vendor 20,CN
21,Vendor 21,IN
22, Vendor 22 ,JP
23,Vendor  23,GB
24,Vendor 24,US
25, Vendor 25 ,DE
26,Vendor 26,JP
27,Vendor 27,CN
28,Vendor 28,JP
29, Vendor 29 ,IN
30,Vendor 30,US
31,Vendor 31,DE
32,Vendor 32,JP
33,Vendor 33,SG
34,Vendor 34,IN
35,Vendor 35,IN
36,Vendor 36,GB
37,Vendor 37,US
38,Vendor 38,IN
39,Vendor 39,DE
40,Vendor 40,US
41, Vendor 41 ,SG
42,Vendor 42,DE
43,Vendor 43,GB
44,Vendor 44,IN
45, Vendor 45 ,SG
46,Vendor 46,SG
47,Vendor 47,SG
48,Vendor 48,CN
49,Vendor 49,IN
50, Vendor 50 ,JP
51, Vendor 51 ,CN
52,Vendor 52,DE
53,Vendor 53,US
54,Vendor 54,IN
55,Vendor 55,GB
56,Vendor 56,JP
57,Vendor 57,DE
58, Vendor 58 ,SG
59,Vendor 59,CN
60,Vendor 60,IN
61,Vendor 61,IN
62,Vendor 62,CN
63,Vendor 63,CN
64,Vendor 64,JP
65,Vendor 65,JP
66,Vendor 66,IN
67,Vendor 67,GB
68,Vendor 68,IN
69, Vendor 69 ,US
70,Vendor 70,IN
71,Vendor 71,AE
72, Vendor 72 ,IN
73,Vendor  73,AE
74,Vendor 74,JP
75, Vendor 75 ,IN
76,Vendor 76,IN
77,Vendor 77,IN
78, Vendor 78 ,CN
79,Vendor 79,IN
80,Vendor 80,IN
81, Vendor 81 ,DE
82,Vendor 82,US
83,Vendor 83,DE
84,Vendor 84,DE
85,Vendor  85,IN
86, Vendor 86 ,CN
87,Vendor 87,SG
88,Vendor 88,CN
89,Vendor 89,IN
90, Vendor 90 ,IN
91,Vendor 91,CN
92,Vendor 92,GB
93,Vendor 93,DE
94,Vendor 94,IN
95,Vendor 95,GB
96,Vendor 96,JP
97,Vendor 97,IN
98,Vendor 98,CN
99, Vendor 99 ,CN
100,Vendor 100,SG
101,Vendor  101,JP
102,Vendor  102,IN
103,Vendor 103,JP
104,Vendor 104,IN
105,Vendor 105,CN
106,Vendor 106,CN
107,Vendor 107,DE
108, Vendor 108 ,IN
109,Vendor  109,US
110,Vendor  110,IN
111,Vendor 111,CN
112, Vendor 112 ,DE
113,Vendor 113,IN
114,Vendor 114,CN
115,Vendor 115,IN
116, Vendor 116 ,US
117, Vendor 117 ,SG
118,Vendor 118,US
119,Vendor 119,IN
120,Vendor 120,IN
121,Vendor 121,JP
122,Vendor 122,CN
123, Vendor 123 ,IN
124, Vendor 124 ,IN
125,Vendor  125,IN
126,Vendor 126,IN
127,Vendor 127,JP
128,Vendor  128,IN
129, Vendor 129 ,IN
130,Vendor 130,DE
131,Vendor 131,CN
132,Vendor  132,IN
133,Vendor 133,CN
134,Vendor 134,CN
135,Vendor 135,IN
136,Vendor 136,US
137,Vendor 137,IN
138,Vendor  138,GB
139,Vendor 139,US
140,Vendor 140,SG
141, Vendor 141 ,US
142,Vendor 142,JP
143, Vendor 143 ,DE
144,Vendor  144,CN
145,Vendor 145,CN
146,Vendor 146,IN
147,Vendor 147,US
148,Vendor  148,IN
149,Vendor 149,JP
150,Vendor 150,CN
151,Vendor 151,IN
152,Vendor 152,IN
153, Vendor 153 ,GB
154,Vendor 154,US
155,Vendor 155,CN
156,Vendor 156,IN
157,Vendor 157,US
158,Vendor 158,SG
159, Vendor 159 ,SG
160, Vendor 160 ,GB
161,Vendor 161,US
162, Vendor 162 ,SG
163,Vendor 163,AE
164,Vendor 164,DE
165, Vendor 165 ,IN
166,Vendor 166,IN
167,Vendor 167,SG
168,Vendor 168,SG
169,Vendor 169,IN
170,Vendor 170,US
171,Vendor 171,IN
172,Vendor 172,IN
173,Vendor 173,IN
174, Vendor 174 ,JP
175,Vendor 175,CN
176, Vendor 176 ,IN
177,Vendor  177,GB
178, Vendor 178 ,GB
179,Vendor 179,CN
180,Vendor 180,CN
181,Vendor 181,IN
182,Vendor 182,AE
183,Vendor 183,IN
184,Vendor  184,IN
185,Vendor 185,IN
186,Vendor 186,CN
187,Vendor 187,IN
188,Vendor  188,JP
189,Vendor 189,US
190,Vendor  190,US
191,Vendor 191,IN
192, Vendor 192 ,US
193,Vendor 193,CN
194,Vendor 194,US
195,Vendor 195,SG
196,Vendor 196,IN
197,Vendor 197,US
198,Vendor 198,SG
199,Vendor 199,IN
200,Vendor 200,IN
201,Vendor 201,IN
202, Vendor 202 ,US
203,Vendor 203,IN
204,Vendor 204,CN
205,Vendor 205,DE
206,Vendor 206,IN
207,Vendor  207,IN
208,Vendor 208,SG
209,Vendor 209,US
210,Vendor 210,IN
211, Vendor 211 ,SG
212,Vendor 212,CN
213,Vendor  213,IN
214,Vendor 214,DE
215,Vendor 215,CN
216, Vendor 216 ,IN
217,Vendor 217,IN
218,Vendor 218,IN
219,Vendor 219,CN
220,Vendor  220,AE
221,Vendor 221,DE
222,Vendor 222,GB
223,Vendor 223,DE
224,Vendor 224,IN
225,Vendor 225,AE
226,Vendor 226,IN
227,Vendor 227,DE
228,Vendor 228,IN
229,Vendor 229,CN
230,Vendor 230,GB
231,Vendor 231,AE
232,Vendor 232,IN
233,Vendor 233,IN
234,Vendor 234,IN
235, Vendor 235 ,CN
236,Vendor 236,IN
237,Vendor 237,JP
238,Vendor 238,IN
239,Vendor 239,CN
240,Vendor  240,IN
241,Vendor 241,US
242,Vendor 242,IN
